female,wjtest01,wjtest07,wjtest10,age,cutoff,white,black,hispanic,other,freelunch,agexcutoff
1,0,7,8,-138,0,1,0,0,0,1,0
0,2,1,0,-355,0,0,0,1,0,1,0
1,0,4,2,-356,0,0,0,1,0,1,0
0,1,0,6,-215,0,1,0,0,0,1,0
1,2,4,1,-259,0,0,0,1,0,1,0
0,,,,-23,0,0,0,1,0,1,0
1,4,4,0,-167,0,0,0,1,0,1,0
0,1,2,0,-270,0,0,0,1,0,1,0
1,9,2,2,-256,0,0,0,1,0,1,0
0,,,,-10,0,0,0,1,0,1,0
0,6,11,11,-74,0,0,0,1,0,1,0
0,0,5,0,-158,0,0,0,1,0,0,0
0,3,6,2,-363,0,0,0,1,0,1,0
1,2,6,2,-335,0,1,0,0,0,1,0
0,12,9,11,-239,0,0,1,0,0,0,0
0,6,7,13,-86,0,1,0,0,0,1,0
0,10,10,6,-246,0,1,0,0,0,1,0
1,4,5,12,-314,0,1,0,0,0,0,0
1,,,,-24,0,1,0,0,0,1,0
1,1,5,0,-339,0,0,0,1,0,1,0
0,5,7,10,-237,0,0,0,1,0,1,0
1,6,4,,-130,0,1,0,0,0,1,0
0,4,2,11,-249,0,0,1,0,0,1,0
0,2,1,1,-271,0,0,1,0,0,1,0
0,2,7,4,-118,0,1,0,0,0,1,0
1,,,,-275,0,0,1,0,0,1,0
1,6,5,0,-91,0,0,0,1,0,1,0
0,,,,-233,0,0,0,1,0,1,0
1,8,5,14,-333,0,0,0,1,0,1,0
1,3,5,0,-179,0,0,1,0,0,1,0
1,,,,-79,0,0,0,1,0,1,0
1,3,6,13,-95,0,0,0,0,1,1,0
0,,,,-217,0,1,0,0,0,1,0
1,4,6,2,27,1,0,0,1,0,1,27
0,5,8,16,200,1,0,0,1,0,1,200
1,12,8,16,82,1,1,0,0,0,,82
1,,,,82,1,1,0,0,0,,82
1,,,,324,1,0,1,0,0,1,324
1,8,10,14,357,1,0,1,0,0,1,357
1,8,7,14,85,1,0,1,0,0,1,85
1,6,5,4,-121,0,0,1,0,0,1,0
0,0,5,0,-345,0,0,1,0,0,1,0
0,3,5,6,-158,0,0,1,0,0,1,0
1,,,,-365,0,1,0,0,0,1,0
1,,,,-320,0,0,1,0,0,1,0
1,3,7,10,-23,0,0,1,0,0,1,0
1,9,6,10,-68,0,0,0,1,0,1,0
1,6,7,0,-5,0,1,0,0,0,0,0
1,,,,-97,0,0,0,1,0,1,0
0,,,,-111,0,0,0,1,0,1,0
1,3,7,9,-19,0,0,0,0,1,1,0
0,2,2,13,-209,0,1,0,0,0,1,0
0,,,,-325,0,1,0,0,0,1,0
1,0,1,0,-308,0,1,0,0,0,1,0
0,,,,-327,0,1,0,0,0,1,0
0,3,2,3,-277,0,1,0,0,0,1,0
1,6,7,12,-156,0,0,1,0,0,1,0
1,1,7,2,-134,0,0,1,0,0,1,0
0,6,2,0,-38,0,0,1,0,0,1,0
0,,,,-244,0,0,0,0,1,1,0
0,4,10,13,219,1,0,0,1,0,1,219
1,9,9,15,239,1,0,1,0,0,1,239
0,3,7,10,346,1,0,0,1,0,1,346
0,13,11,20,155,1,0,1,0,0,,155
0,11,11,15,337,1,0,1,0,0,,337
0,16,12,21,264,1,0,0,1,0,,264
0,6,4,11,305,1,0,1,0,0,1,305
0,6,7,17,218,1,0,1,0,0,1,218
1,2,8,10,194,1,0,1,0,0,1,194
0,4,8,12,147,1,0,0,1,0,1,147
0,8,3,10,43,1,1,0,0,0,1,43
0,,,,315,1,0,1,0,0,1,315
1,5,5,12,267,1,0,1,0,0,1,267
1,4,3,10,285,1,0,1,0,0,1,285
1,3,7,14,322,1,0,1,0,0,1,322
1,13,10,16,212,1,0,1,0,0,1,212
0,3,7,6,207,1,0,0,1,0,1,207
0,5,4,12,291,1,0,0,1,0,1,291
1,7,8,13,202,1,0,0,1,0,1,202
1,2,4,6,274,1,0,0,1,0,1,274
0,3,8,12,317,1,0,0,1,0,1,317
1,3,4,9,270,1,0,0,1,0,1,270
0,,,,149,1,0,1,0,0,1,149
0,8,9,6,162,1,0,1,0,0,,162
1,4,9,10,180,1,0,0,1,0,1,180
0,7,7,16,226,1,0,0,1,0,1,226
1,,,,334,1,0,1,0,0,1,334
0,,,,56,1,0,1,0,0,1,56
1,0,6,1,-124,0,0,0,1,0,1,0
0,0,0,3,-95,0,0,1,0,0,1,0
0,,,,-137,0,0,0,1,0,1,0
0,0,7,0,-299,0,0,0,1,0,1,0
1,3,5,10,-31,0,1,0,0,0,1,0
1,,,,-28,0,0,1,0,0,1,0
0,3,6,2,-303,0,0,0,1,0,1,0
1,0,5,0,-4,0,0,0,1,0,1,0
1,3,6,0,-312,0,0,0,1,0,1,0
0,0,1,0,-180,0,0,0,1,0,1,0
1,4,1,9,-67,0,0,0,1,0,1,0
0,0,1,0,-236,0,0,0,1,0,1,0
1,0,1,0,-313,0,0,0,1,0,1,0
1,3,,9,-5,0,0,0,1,0,1,0
0,3,0,0,-348,0,0,0,1,0,1,0
1,0,,0,-166,0,0,0,1,0,1,0
0,2,6,0,-327,0,0,1,0,0,1,0
1,0,0,0,-278,0,0,0,1,0,1,0
0,,,,-233,0,0,1,0,0,1,0
0,,,,27,1,0,1,0,0,1,27
0,,,,364,1,0,1,0,0,,364
1,,,,219,1,0,1,0,0,1,219
1,,,,33,1,0,1,0,0,1,33
1,,,,-228,0,0,1,0,0,1,0
0,9,7,14,-81,0,1,0,0,0,1,0
0,2,7,12,-122,0,0,0,1,0,1,0
0,14,3,14,-300,0,1,0,0,0,1,0
1,,,,-195,0,0,1,0,0,0,0
0,11,8,8,-86,0,0,0,1,0,1,0
1,,,,-282,0,1,0,0,0,1,0
1,6,6,10,-69,0,0,1,0,0,1,0
0,13,4,12,-282,0,0,1,0,0,1,0
1,5,6,13,-286,0,0,0,1,0,1,0
0,1,6,0,-308,0,0,0,1,0,1,0
0,9,6,9,-136,0,1,0,0,0,1,0
1,0,5,6,-153,0,0,0,1,0,1,0
1,,,,-53,0,0,0,1,0,1,0
1,2,5,5,-241,0,0,0,1,0,1,0
0,1,0,0,-233,0,0,0,0,1,0,0
0,2,2,9,-337,0,1,0,0,0,1,0
1,,,,108,1,0,1,0,0,1,108
1,,,,21,1,1,0,0,0,1,21
0,1,6,10,240,1,0,1,0,0,1,240
1,10,9,11,170,1,0,1,0,0,1,170
1,4,6,9,268,1,0,1,0,0,1,268
1,6,8,10,189,1,0,1,0,0,1,189
0,9,11,15,199,1,0,0,1,0,1,199
1,10,9,13,215,1,0,1,0,0,1,215
1,7,9,11,78,1,0,0,1,0,1,78
1,9,9,11,348,1,1,0,0,0,1,348
1,15,12,11,327,1,0,0,1,0,1,327
0,15,12,20,353,1,1,0,0,0,1,353
0,13,11,15,242,1,0,1,0,0,1,242
1,4,5,11,31,1,0,0,0,1,,31
1,,,,44,1,0,1,0,0,1,44
0,9,11,14,162,1,0,1,0,0,1,162
0,5,8,10,283,1,0,1,0,0,1,283
0,10,11,7,106,1,0,0,1,0,1,106
1,5,8,15,104,1,1,0,0,0,1,104
1,10,11,19,4,1,0,0,1,0,1,4
0,2,7,9,190,1,0,0,1,0,1,190
0,3,9,11,245,1,0,0,1,0,1,245
1,6,7,11,190,1,0,1,0,0,1,190
0,6,8,9,82,1,0,0,1,0,1,82
1,5,7,11,223,1,0,1,0,0,1,223
0,4,7,13,242,1,0,0,1,0,1,242
1,11,13,15,361,1,0,1,0,0,1,361
1,,,,313,1,0,0,1,0,1,313
0,5,6,4,63,1,0,0,0,1,1,63
0,8,9,13,326,1,1,0,0,0,1,326
1,6,7,10,246,1,0,1,0,0,1,246
0,11,7,13,292,1,0,0,1,0,1,292
1,4,3,12,-16,0,0,1,0,0,1,0
0,5,,5,-364,0,0,1,0,0,1,0
1,,,,-365,0,0,1,0,0,1,0
1,3,5,9,-270,0,0,1,0,0,1,0
0,4,2,2,-83,0,0,1,0,0,1,0
0,0,0,0,-256,0,0,1,0,0,1,0
1,,,,-81,0,0,1,0,0,1,0
0,4,5,7,-19,0,0,1,0,0,0,0
0,0,3,1,-305,0,0,1,0,0,1,0
0,0,0,0,-258,0,0,1,0,0,1,0
1,,,,-19,0,0,1,0,0,1,0
0,,,,-270,0,0,1,0,0,1,0
1,3,5,0,-311,0,0,1,0,0,1,0
0,,,,-70,0,0,1,0,0,1,0
0,2,2,3,-345,0,0,1,0,0,1,0
1,2,3,1,-111,0,0,1,0,0,1,0
0,3,4,8,-165,0,0,1,0,0,1,0
1,2,,8,-291,0,0,1,0,0,1,0
0,,,,-117,0,0,1,0,0,1,0
0,,,,-334,0,0,1,0,0,1,0
1,,,,339,1,0,0,1,0,1,339
1,,,,197,1,0,1,0,0,1,197
1,4,1,11,-216,0,0,1,0,0,0,0
0,2,4,4,-189,0,1,0,0,0,1,0
1,10,8,13,-255,0,0,1,0,0,1,0
0,,,,-65,0,0,0,1,0,1,0
1,0,2,0,-340,0,0,0,1,0,1,0
0,,,,-46,0,1,0,0,0,1,0
0,0,,0,-226,0,0,0,1,0,1,0
1,9,7,10,-139,0,0,0,1,0,1,0
1,1,,2,-58,0,0,0,1,0,1,0
0,2,7,9,-154,0,0,1,0,0,1,0
0,4,3,7,-297,0,0,0,1,0,1,0
0,3,,2,-53,0,0,0,1,0,1,0
1,3,4,0,-96,0,0,0,1,0,1,0
0,4,6,11,-60,0,0,1,0,0,1,0
0,3,1,0,-293,0,1,0,0,0,0,0
0,5,0,0,-200,0,0,0,1,0,1,0
1,14,12,15,-105,0,0,0,1,0,1,0
1,1,3,0,-331,0,0,0,1,0,1,0
1,3,1,9,-189,0,1,0,0,0,1,0
0,,,,-301,0,0,0,1,0,1,0
0,,,,-10,0,0,0,1,0,0,0
1,,,,-207,0,0,1,0,0,1,0
0,,,,-103,0,0,0,0,1,1,0
1,2,2,1,-328,0,0,0,1,0,0,0
1,0,,,-145,0,0,0,1,0,1,0
1,,,,-320,0,0,1,0,0,1,0
0,0,0,0,-265,0,0,0,1,0,0,0
1,11,8,6,-346,0,0,1,0,0,0,0
1,,,,-251,0,0,0,1,0,1,0
1,3,7,10,-7,0,0,0,1,0,1,0
1,,,,190,1,0,1,0,0,1,190
1,10,11,17,146,1,1,0,0,0,1,146
0,1,5,0,-231,0,0,0,1,0,1,0
0,4,5,9,-33,0,0,0,1,0,1,0
1,4,5,9,-11,0,0,0,1,0,1,0
1,7,4,6,-291,0,1,0,0,0,1,0
1,0,1,0,-246,0,0,0,1,0,1,0
0,1,6,0,-115,0,0,0,1,0,1,0
0,4,6,11,-71,0,1,0,0,0,1,0
1,0,0,0,-35,0,0,0,1,0,1,0
0,0,0,0,-8,0,0,1,0,0,1,0
0,1,3,0,-349,0,0,0,1,0,1,0
1,0,5,,-79,0,0,0,1,0,1,0
1,1,3,5,-302,0,0,1,0,0,1,0
0,1,1,2,-236,0,0,0,1,0,1,0
1,2,3,0,-240,0,0,0,1,0,1,0
1,10,8,11,-113,0,1,0,0,0,1,0
1,0,3,0,-214,0,0,0,1,0,1,0
1,0,3,0,-112,0,0,0,1,0,1,0
1,6,2,10,-258,0,1,0,0,0,0,0
0,1,1,1,-238,0,1,0,0,0,1,0
1,2,5,2,-90,0,0,0,1,0,1,0
1,0,6,0,-12,0,0,0,1,0,1,0
1,,,,90,1,0,0,1,0,1,90
0,3,7,11,260,1,0,0,1,0,,260
0,6,7,13,1,1,0,0,1,0,1,1
0,12,11,16,329,1,0,0,1,0,1,329
0,,,,-160,0,0,0,1,0,0,0
