ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
.31,48106,.79000002,.26300001,0,.34,-.58200002
.090000004,79575,.37,1,1,.81,.81599998
.16,64882,.38999999,.671,1,.75999999,.95599997
.25,42143,.43000001,.52700001,1,.63,.78899997
.23999999,47829,.23999999,1,1,.86000001,.98100001
.23999999,42440,.38,.67400002,1,.74000001,.97000003
.15000001,51406,.33000001,1,1,.80000001,.76200002
.28,35454,.54000002,.43399999,0,.50999999,-.086000003
.23999999,50008,.70999998,.30599999,0,.47,-.34599999
.11,62298,.69999999,.46799999,0,.18000001,-.34099999
.16,65482,.73000002,.259,0,.28,-.49200001
.2,47595,.36000001,.55299997,1,.88999999,.98400003
.16,45048,.36000001,.73799998,1,.87,.43200001
.36000001,41145,.87,.16500001,0,.27000001,-.40599999
.31,43380,.89999998,.146,0,.25999999,-.52499998
.15000001,55266,.63999999,.259,0,.68000001,-.25799999
.28999999,40921,.85000002,.156,0,.19,-.50099999
.19,57318,.73000002,.26499999,0,.66000003,-.32300001
.090000004,67946,.56,.63599998,1,.75,.66500002
.36000001,50184,.88,.16500001,0,.27000001,-.479
.1,71382,.56,.50099999,1,.79000002,.995
.15000001,55673,.72000003,.31900001,0,.62,-.59299999
.090000004,82069,.61000001,.51099998,1,.75,.52899998
.16,55760,.52999997,.57300001,1,.83999997,.44800001
.27000001,41436,.54000002,.37900001,0,.80000001,-.40400001
.07,80786,.54000002,.63800001,1,.81999999,.64600003
.13,66013,.55000001,.53299999,1,.74000001,.73299998
.22,44352,.47999999,.64300001,1,.88999999,.96799999
.2,55382,.52999997,.67699999,1,.86000001,.72500002
.23,40033,.56,.55000001,1,.87,.64600003
.19,49233,.47999999,.72799999,1,.89999998,.52499998
.17,48684,.44,.71200001,1,.94,.61500001
.2,50366,.62,.39700001,0,.69999999,-.43700001
.23999999,43453,.54000002,.493,0,.83999997,-.108
.18000001,49651,.43000001,.65499997,1,.88,.95099998
.14,53369,.43000001,.72299999,1,.93000001,.838
.13,60492,.40000001,.70999998,1,.93000001,.76599997
.20999999,43233,.46000001,.69,1,.93000001,.84500003
.34999999,40443,.70999998,.391,0,.63,-.39500001
.2,43252,.47,.60600001,1,.94,.55199999
.17,44325,.49000001,.55299997,1,.94,.727
.16,44106,.57999998,.48899999,0,.92000002,-.35299999
.17,47154,.60000002,.47400001,0,.92000002,-.308
.16,52239,.54000002,.47799999,0,.89999998,-.266
.11,47465,.52999997,.67199999,1,.94999999,.47499999
.18000001,44574,.44,.67000002,1,.94,.72000003
.17,41917,.30000001,.764,1,.85000002,.96600002
.19,44361,.43000001,.66100001,1,.87,.75099999
.16,60713,.50999999,.602,1,.80000001,.78100002
.18000001,45731,.40000001,.61699998,1,.81,.82200003
.25,36655,.37,.71200001,1,.89999998,.509
.23,42952,.38,.67900002,1,.91000003,.52899998
.22,43181,.56,.44600001,0,.75999999,-.36700001
.20999999,48223,.38,.69499999,1,.94999999,.53899997
,,,,,,.98000002
.38999999,26824,.31,.77399999,1,.97000003,.53100002
.25,43961,.43000001,.498,0,.87,-.18000001
.18000001,49935,.25999999,.80299997,1,.80000001,.74299997
.33000001,38637,.74000001,.34099999,0,.28,-.43900001
.20999999,42779,.37,.63800001,1,.69999999,.85799998
.25,37544,.40000001,.65799999,1,.62,.73900002
.30000001,34384,.37,1,1,.63,.5
.2,44689,.41,.65600002,1,.63,.71399999
.25,38599,.34999999,1,1,.72000003,.57700002
.12,52004,.61000001,.43200001,0,.95999998,-.48300001
.23,40096,.55000001,.44800001,0,.97000003,-.278
.1,66802,.40000001,.56300002,1,.85000002,.89999998
.15000001,55534,.60000002,.34200001,0,.66000003,-.26699999
.14,69028,.58999997,.37099999,0,.75999999,-.41299999
.090000004,71886,.85000002,.164,0,.28,-.551
.059999999,81179,.64999998,.34999999,0,.61000001,-.32100001
.11,67041,.40000001,.64899999,1,.92000002,.74299997
.2,51367,.79000002,.233,0,.34,-.421
.1,86971,.74000001,.25400001,0,.56,-.333
.17,51853,.63999999,.368,0,.88999999,-.63700002
.19,55829,.58999997,.426,0,.81999999,-.46799999
.12,62659,.58999997,.40900001,0,.86000001,-.56400001
.11,68236,.63999999,.44600001,0,.88,-.56300002
.13,70430,.58999997,.435,0,.80000001,-.398
.079999998,68759,.57999998,.43000001,0,.89999998,-.50300002
.090000004,68385,.64999998,.33500001,0,.82999998,-.565
.25,48636,.86000001,0,0,.49000001,-.56300002
